 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,1060931,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,22.6216408,3.770273467,353643.6667,611777.9595,1060064,355,1060931,353643.6667,611777.9595,1060064,355,0,0.0,0.0,0,0,0,0,0,0,80,0,3.770273467,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
137,9079448,6,6,408,372,68,68,68.0,0.0,62,62,62.0,0.0,85.90830632,1.321666251,825404.3636,1836255.264,4539464,3,9079267,1815853.4,2486454.194,4539653,4,9079209,1815841.8,2486419.14,4539646,3,0,0,0,0,144,144,0.660833126,0.660833126,62,68,65.23076923,3.11324713,9.692307692,0,0,0,0,0,0,0,0,1,70.66666667,68.0,62.0,144,0,0,0,0,0,0,6,408,6,372,-1,-1,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,142554,47,57,1313,104393,570,0,27.93617021,110.3290344,2896,0,1831.45614,839.483346,741515.4959,729.5481011,1384.019417,5173.533889,23364,1,142554,3099.0,7529.948614,23777,48,119512,2134.142857,6319.071173,23820,1,0,0,0,0,1224,1832,329.6996226,399.8484785,0,2896,1006.72381,1095.603438,1200346.894,0,0,0,1,0,0,0,0,1,1016.403846,27.93617021,1831.45614,1224,0,0,0,0,0,0,47,1313,57,104393,29200,61,28,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,4500000.0,750000.0,2.0,1.414213562,3,1,4,2.0,1.414213562,3,1,0,0.0,0.0,0,0,0,0,0,0,60,0,750000.0,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,0,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,72885105,8,5,56,11601,20,0,7.0,5.656854249,4380,0,2320.2,2207.341206,159.9366565,0.178362918,6073758.75,19800000.0,68900000,3,72400000,10300000.0,25800000.0,68900000,3,525092,131273.0,254647.3551,513168,158,0,0,0,0,172,112,0.109761796,0.068601122,0,4380,833.0714286,1679.986285,2822353.918,0,0,0,0,1,0,0,0,0,897.1538462,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,3485940.0,0.0,3485940,3485940,68900000.0,0.0,68900000,68900000,DDoS
53281,6895411,1,5,1375,24,1375,1375,1375.0,0.0,6,0,4.8,2.683281573,202.8885588,0.870143926,1379082.2,3067181.565,6865791,3,0,0.0,0.0,0,0,6869852,1717463.0,3432218.898,6865791,3,1,0,0,0,20,112,0.145023988,0.725119938,0,1375,396.2857143,668.5927296,447016.2381,0,1,0,0,1,1,0,0,5,462.3333333,1375.0,4.8,20,0,0,0,0,0,0,1,1375,5,24,229,0,0,20,29620.0,0.0,29620,29620,6865791.0,0.0,6865791,6865791,BENIGN
443,186529,3,0,65,0,53,6,21.66666667,27.13546265,0,0,0.0,0.0,348.4712833,16.08329,93264.5,131825.2101,186479,50,186529,93264.5,131825.2101,186479,50,0,0.0,0.0,0,0,0,0,0,0,60,0,16.08329,0.0,6,53,17.75,23.5,552.25,0,0,0,0,1,0,0,0,0,23.66666667,21.66666667,0.0,60,0,0,0,0,0,0,3,65,0,0,63738,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1672240,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,6956.537339,4.784002296,238891.4286,631631.9565,1671298,3,685,342.5,458.912301,667,18,1672143,418035.75,835508.2186,1671298,3,0,0,0,0,72,112,1.794000861,2.990001435,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,47744,2,2,58,612,29,29,29.0,0.0,306,306,306.0,0.0,14033.17694,83.78016086,15914.66667,27558.94908,47737,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,80,64,41.89008043,41.89008043,29,306,139.8,151.7191484,23018.7,0,0,0,0,0,0,0,0,1,174.75,29.0,306.0,80,0,0,0,0,0,0,2,58,2,612,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,7617139,7,6,50,11601,20,0,7.142857143,6.094494002,2920,0,1933.5,1495.722401,1529.576919,1.706677533,634761.5833,2092845.857,7275802,16,7342115,1223685.833,2964969.786,7275802,134,297235,59447.0,120696.5216,274668,16,0,0,0,0,152,132,0.91898021,0.787697323,0,2920,832.6428571,1356.209628,1839304.555,0,0,0,0,1,0,0,0,0,896.6923077,7.142857143,1933.5,152,0,0,0,0,0,0,7,50,6,11601,256,229,5,20,43988.0,0.0,43988,43988,7275802.0,0.0,7275802,7275802,DDoS
80,527332,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,22060.10635,15.1707084,75333.14286,198871.9049,526332,3,758,379.0,388.9087297,654,104,527282,131820.5,263007.8847,526332,3,0,0,0,0,72,112,5.689015649,9.481692748,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,867037,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,13416.95914,9.226826537,123862.4286,327332.2238,866182,1,612,306.0,431.3351365,611,1,866991,216747.75,432956.2405,866182,7,0,0,0,0,72,112,3.460059951,5.766766586,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
8080,997411,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,18.04672297,6.015574322,199482.2,272149.5612,498633,505,996646,498323.0,1152.584053,499138,497508,996482,498241.0,1636.245092,499398,497084,0,0,0,0,92,60,3.007787161,3.007787161,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,62922532,20,15,2351,5379,671,0,117.55,235.8075654,2952,0,358.6,780.8720217,122.8494747,0.556239536,1850662.706,3834957.073,10000000,89,62900000,3311712.211,4705198.303,10100000,48808,62900000,4490858.5,5020123.351,10100000,2913,0,0,0,0,424,384,0.317851163,0.238388373,0,2952,214.7222222,538.2145409,289674.8921,0,0,0,1,0,0,0,0,0,220.8571429,117.55,358.6,424,0,0,0,0,0,0,20,2351,15,5379,8192,77,18,20,415004.6667,893353.0798,2238554,50217,10000000.0,20347.67685,10000000,9996175,BENIGN
53,241,2,2,64,204,32,32,32.0,0.0,102,102,102.0,0.0,1112033.195,16597.51037,80.33333333,55.13921774,144,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,80,80,8298.755187,8298.755187,32,102,60.0,38.34057903,1470.0,0,0,0,0,0,0,0,0,1,75.0,32.0,102.0,80,0,0,0,0,0,0,2,64,2,204,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
