,index,text,entities,relations,Comments,id,label,start_offset,end_offset
0,11709,"Malicious version of My First APP, which adds Metasploit     SideWinder has used malicious apps as part of its operation before.","[{'id': 36090, 'label': 'malware', 'start_offset': 46, 'end_offset': 56}, {'id': 36091, 'label': 'threat-actor', 'start_offset': 61, 'end_offset': 71}]",[],[],36090.0,malware,46.0,56.0
1,4382,HYPERSCRAPE demonstrates Charming Kitten’s commitment to developing and maintaining purpose-built capabilities.,"[{'id': 13145, 'label': 'threat-actor', 'start_offset': 25, 'end_offset': 40}, {'id': 50195, 'label': 'malware', 'start_offset': 0, 'end_offset': 11}]",[],[],13145.0,threat-actor,25.0,40.0
2,12581,This looked similar to an earlier in-the-wild iOS vulnerability analyzed by Ian Beer of Google Project Zero.,[],[],[],,,,
3,11292,We need to request that a download link be generated for the collected files with the “trendmicro-visionone-download-information-for-collected-forensic-file”.,[],[],[],,,,
4,13494,"Some malicious actors, such as ransomware operators, earn directly from their cyberattacks.",[],[],[],,,,
5,5386,"We have evidence that the routers of at least one vendor other than Asus and WatchGuard are connecting to Cyclops Blink C&Cs as well, but so far we have been unable to collect malware samples for this router brand.","[{'id': 51380, 'label': 'malware', 'start_offset': 106, 'end_offset': 119}]",[],[],51380.0,malware,106.0,119.0
6,3889,They should also exercise an incident response plan and Implement regular data backup procedures on both IT and OT networks.,[],[],[],,,,
7,7302,"It collects the following information from the infected system by invoking the following commands:  Command  Description  system_profiler SPHardwareDataType 2>/dev/null | awk '/Processor / {split($0,line,\"":\""); printf(\""%s\"",line[2]);}'  Get processor information  15f20 = system_profiler SPHardwareDataType 2>/dev/null | awk '/Memory/ {split($0,line, \"":\""); printf(\""%s\"", line[2]);}'",[],[],[],,,,
8,14275,...,[],[],[],,,,
9,3040,Many apps these days have auto-update capabilities.,[],[],[],,,,
10,12391,We terminated 4 YouTube channels as part of our actions against a coordinated influence operation.,[],[],[],,,,
11,4, The first known campaign was launched by Crimeware on November 2014.,"[{'id': 45806, 'label': 'TIME', 'start_offset': 55, 'end_offset': 68}, {'id': 48942, 'label': 'malware', 'start_offset': 42, 'end_offset': 51}]",[],[],45806.0,TIME,55.0,68.0
12,4052,"By using existing frameworks, examples of which are detailed in the following, it builds new backdoor variants more efficiently.",[],[],[],,,,
13,13297,The TSSL project has 64-bit version.,"[{'id': 41403, 'label': 'identity', 'start_offset': 24, 'end_offset': 27}]",[],[],41403.0,identity,24.0,27.0
