,index,text,entities,relations,Comments,id,label,start_offset,end_offset
0,10444,You need to make sure your business is protected.,[],[],[],,,,
1,6237,"While Earth Wendigo uses typical spear-phishing techniques to initiate their attack, the threat actor also uses many atypical techniques to infiltrate the targeted organizations, such as the use of mail signature manipulation and Service Worker infection.","[{'id': 19240, 'label': 'threat-actor', 'start_offset': 6, 'end_offset': 19}, {'id': 19241, 'label': 'location', 'start_offset': 33, 'end_offset': 38}, {'id': 19242, 'label': 'attack-pattern', 'start_offset': 39, 'end_offset': 47}, {'id': 19243, 'label': 'location', 'start_offset': 112, 'end_offset': 116}, {'id': 19244, 'label': 'location', 'start_offset': 226, 'end_offset': 229}]",[],[],19240.0,threat-actor,6.0,19.0
2,1664, The initial packet from the client to the server shows a data and command length of 65 bytes (0x41 listed at the beginning of the packet) with a command byte of 0x03.  Within that data is a 32-byte seed value followed by a 16-byte initialization vector (IV) value.,[],[],[],,,,
3,11460,"APP has a strong track record protecting users – since the program’s inception, there are no documented cases of an account compromise via phishing.","[{'id': 35019, 'label': 'location', 'start_offset': 10, 'end_offset': 16}, {'id': 35020, 'label': 'malware', 'start_offset': 69, 'end_offset': 78}, {'id': 35021, 'label': 'location', 'start_offset': 86, 'end_offset': 89}, {'id': 35022, 'label': 'attack-pattern', 'start_offset': 139, 'end_offset': 147}]",[],[],35019.0,location,10.0,16.0
4,5835,"Information warfare, PSYOPs, psychology operations - you name it.",[],[],[],,,,
5,10658,"According to the Apache HTTP Server webpage, from 2012 to 2016 there were a total of 31 vulnerabilities found in the Apache HTTP Server.",[],[],[],,,,
6,3618,"While these are not broad attacks, they represent an escalation in attacker spear phishing techniques in a way that makes it even more important than ever to have a prevention framework in place.","[{'id': 49403, 'label': 'attack-pattern', 'start_offset': 76, 'end_offset': 90}]",[],[],49403.0,attack-pattern,76.0,90.0
7,1791,"However, there are some indications that they abused the same vulnerability previously documented by Synacktiv during a pentest, CVE-2021-40539.","[{'id': 45132, 'label': 'vulnerability', 'start_offset': 129, 'end_offset': 143}, {'id': 45133, 'label': 'identity', 'start_offset': 101, 'end_offset': 110}]",[],[],45132.0,vulnerability,129.0,143.0
8,14091,It makes sense that new campaigns coming from the same authors/groups will add new extensions like “.xlsx” to support updated versions of Office documents.,[],[],[],,,,
9,14106,     Figure 12.,[],[],[],,,,
10,9058,"The screenshot below shows the conversion from C/C++ code to Powershell, while the protocol remained unchanged.",[],[],[],,,,
11,14044,It is also important to note that the same paths leaked through all the SLUB samples.,"[{'id': 43496, 'label': 'malware', 'start_offset': 72, 'end_offset': 76}]",[],[],43496.0,malware,72.0,76.0
12,12963,Related IOCs,[],[],[],,,,
13,1886,"For the sake of this report, we will call this unnamed threat actor “Urpage.”","[{'id': 47016, 'label': 'threat-actor', 'start_offset': 69, 'end_offset': 75}]",[],[],47016.0,threat-actor,69.0,75.0
14,3928,The quser command is used to identify active remote sessions.,[],[],[],,,,
15,9570,In later versions it was obfuscated with Base64.,[],[],[],,,,
16,14227,"Upon successful infection, the malware starts communicating with an HTML page from a repository stored in a GitHub project.","[{'id': 48413, 'label': 'SOFTWARE', 'start_offset': 108, 'end_offset': 115}]",[],[],48413.0,SOFTWARE,108.0,115.0
17,134,"Additionally, you should practice good cybersecurity hygiene.",[],[],[],,,,
18,12064,"Although Play Store users were protected, we are highlighting the app here as TAG has seen APT35 attempt to distribute this spyware on other platforms as recently as July 2021.","[{'id': 37336, 'label': 'location', 'start_offset': 45, 'end_offset': 48}, {'id': 37337, 'label': 'threat-actor', 'start_offset': 91, 'end_offset': 96}]",[],[],37336.0,location,45.0,48.0
19,2511,This post is also available in:      日本語 (Japanese)  Conti ransomware stands out as one of the most ruthless of the dozens of ransomware gangs that we follow.,"[{'id': 45556, 'label': 'threat-actor', 'start_offset': 53, 'end_offset': 69}]",[],[],45556.0,threat-actor,53.0,69.0
20,1057,"When done successfully, this can enable an attacker to convince the user he or she is clicking one window when, in fact, he or she is actually clicking another window.",[],[],[],,,,
21,4032,"Then, depending on the victims, the threat actors dropped different types of second-stage backdoors, such as ChiserClient and SmileSvr.","[{'id': 49877, 'label': 'malware', 'start_offset': 109, 'end_offset': 121}, {'id': 49878, 'label': 'malware', 'start_offset': 126, 'end_offset': 134}]",[],[],49877.0,malware,109.0,121.0
22,4928,"On any given day, TAG is tracking more than 270 targeted or government-backed attacker groups from more than 50 countries.","[{'id': 50944, 'label': 'identity', 'start_offset': 18, 'end_offset': 21}]",[],[],50944.0,identity,18.0,21.0
23,6572,"While one of his signatures uses his own blog domain, there is also a second signature which uses 93[.]gd, a domain that was found to have been actively selling VPS services in the past.",[],[],[],,,,
24,7034,4  Directory to copy all files  %PROGRAMDATA%\Test\  8  Name of the legitimate executable  dlpumgr32.exe  12  Name of the sideloaded DLL  DLPPREM32.DLL  ,[],[],[],,,,
25,7783,.MSI file installed in the system,[],[],[],,,,
26,5343,"For decryption, the malware uses the RSA_public_decrypt() function, which decrypts data encrypted with a corresponding private key, leveraging the “reversibility” of the RSA encryption algorithm.",[],[],[],,,,
27,8873,"For every tool that needs to be run, it creates three things:   The auxiliary tool file <filename>.bat file Cmd.exe with a schtasks.exe command to create a scheduled task to run the batch file above  Instead of directly launching the auxiliary tool, it makes use of a scheduled task that runs the batch file that, in turn, executes the tool.","[{'id': 27438, 'label': 'location', 'start_offset': 10, 'end_offset': 14}, {'id': 27439, 'label': 'location', 'start_offset': 78, 'end_offset': 82}, {'id': 27440, 'label': 'malware', 'start_offset': 108, 'end_offset': 115}, {'id': 27441, 'label': 'malware', 'start_offset': 123, 'end_offset': 135}, {'id': 27442, 'label': 'attack-pattern', 'start_offset': 156, 'end_offset': 170}, {'id': 27443, 'label': 'location', 'start_offset': 244, 'end_offset': 248}, {'id': 27444, 'label': 'attack-pattern', 'start_offset': 268, 'end_offset': 282}, {'id': 27445, 'label': 'location', 'start_offset': 336, 'end_offset': 340}]",[],[],27438.0,location,10.0,14.0
28,2794,Loading malware through drive-by downloads is so 2012: in 2017 it’s about drive-by mining attacks to earn cryptocurrencies.,"[{'id': 48012, 'label': 'TIME', 'start_offset': 49, 'end_offset': 53}, {'id': 48013, 'label': 'TIME', 'start_offset': 58, 'end_offset': 62}]",[],[],48012.0,TIME,49.0,53.0
29,3762,Following is an example of such an attempt.,[],[],[],,,,
30,8872,"To avoid this, the attacker chose a different approach.",[],[],[],,,,
31,8836,This prompted us to dig deeper.,[],[],[],,,,
32,5346,Commands,[],[],[],,,,
33,9172,Best Practices Lurk’s story demonstrates the aptitude of cybercriminals for honing in on specific victims and profiting from them.,"[{'id': 28300, 'label': 'location', 'start_offset': 0, 'end_offset': 4}, {'id': 28301, 'label': 'malware', 'start_offset': 15, 'end_offset': 19}, {'id': 28302, 'label': 'location', 'start_offset': 22, 'end_offset': 27}, {'id': 28303, 'label': 'location', 'start_offset': 106, 'end_offset': 109}, {'id': 28304, 'label': 'location', 'start_offset': 125, 'end_offset': 129}]",[],[],28300.0,location,0.0,4.0
34,4599,"By abusing the SSRF, attackers can create session IDs and access tokens for privileged accounts with the context of the Exchange Control Panel, which can be used to write files with attacker-controlled content at a location on the target server, chosen by the attacker.","[{'id': 50482, 'label': 'attack-pattern', 'start_offset': 15, 'end_offset': 19}, {'id': 50483, 'label': 'SOFTWARE', 'start_offset': 120, 'end_offset': 128}]",[],[],50482.0,attack-pattern,15.0,19.0
35,4454,"We also publicly release information about the operations we disrupt, which is available to our government partners and the general public.",[],[],[],,,,
36,2272,"Glupteba is known to steal user credentials and cookies, mine cryptocurrencies on infected hosts, deploy and operate proxy components targeting Windows systems and IoT devices.","[{'id': 47339, 'label': 'malware', 'start_offset': 0, 'end_offset': 8}, {'id': 47343, 'label': 'attack-pattern', 'start_offset': 57, 'end_offset': 96}, {'id': 47340, 'label': 'SOFTWARE', 'start_offset': 144, 'end_offset': 151}, {'id': 47341, 'label': 'attack-pattern', 'start_offset': 21, 'end_offset': 55}, {'id': 47342, 'label': 'attack-pattern', 'start_offset': 98, 'end_offset': 133}]",[],[],47339.0,malware,0.0,8.0
37,3611,Indicators of Compromise (IoCs)  Indicator Attribution Trend Micro Pattern Detection 068d32a43191dc0164b600b85a1621be0154504fd477167422ff4a8fb3406d73 AnimalGames Backdoor.,"[{'id': 10902, 'label': 'SHA2', 'start_offset': 85, 'end_offset': 149}, {'id': 49391, 'label': 'identity', 'start_offset': 55, 'end_offset': 66}, {'id': 49392, 'label': 'malware', 'start_offset': 150, 'end_offset': 170}]","[{'id': 790, 'from_id': 10902, 'to_id': 49392, 'type': 'indicates'}]",[],10902.0,SHA2,85.0,149.0
38,11218,"If the cookies failed to provide access to the account, a login page is displayed and the attacker can manually enter credentials to proceed, as the program will wait until it finds the inbox page.","[{'id': 34313, 'label': 'malware', 'start_offset': 64, 'end_offset': 68}, {'id': 34314, 'label': 'location', 'start_offset': 82, 'end_offset': 85}, {'id': 34315, 'label': 'location', 'start_offset': 99, 'end_offset': 102}, {'id': 34316, 'label': 'location', 'start_offset': 112, 'end_offset': 117}, {'id': 34317, 'label': 'location', 'start_offset': 157, 'end_offset': 161}, {'id': 34318, 'label': 'location', 'start_offset': 192, 'end_offset': 196}]",[],[],34313.0,malware,64.0,68.0
39,14277,"However, the spyware just hides itself and runs in the background.",[],[],[],,,,
40,2135,Organizations should focus their risk assessments for possible attack until they can patch on four things:  Guidance and Protections for Palo Alto Networks Customers,"[{'id': 47269, 'label': 'identity', 'start_offset': 137, 'end_offset': 155}]",[],[],47269.0,identity,137.0,155.0
41,6507,"The response from the server contains an encoded PowerShell script, which is executed in memory.","[{'id': 20162, 'label': 'attack-pattern', 'start_offset': 49, 'end_offset': 59}]",[],[],20162.0,attack-pattern,49.0,59.0
42,9505,"If the SMTemp.dat file exists, the Loader.dll file executes it.",[],[],[],,,,
43,12236,We terminated 9 YouTube channels as part of our investigation into coordinated influence operations linked to China.,[],[],[],,,,
44,9778,"This is yet another similarity with previous MuddyWater campaigns, which were known to have targeted multiple Turkish government entities.",[],[],[],,,,
45,11436,Safe Browsing also notifies webmasters when their websites are compromised by malicious actors and helps them diagnose and resolve the problem so that their visitors stay safer.,"[{'id': 34938, 'label': 'threat-actor', 'start_offset': 28, 'end_offset': 38}, {'id': 34939, 'label': 'location', 'start_offset': 59, 'end_offset': 62}, {'id': 34940, 'label': 'location', 'start_offset': 95, 'end_offset': 98}, {'id': 34941, 'label': 'location', 'start_offset': 105, 'end_offset': 109}, {'id': 34942, 'label': 'location', 'start_offset': 119, 'end_offset': 122}]",[],[],34938.0,threat-actor,28.0,38.0
46,1880,Trojan,[],[],[],,,,
47,6940,The dlrarhsiva.exe Crimson RAT executable     ,"[{'id': 21727, 'label': 'malware', 'start_offset': 19, 'end_offset': 30}]",[],[],21727.0,malware,19.0,30.0
48,6903,The chart below details the Russian threat actor group SANDWORM’s targeting efforts (by sector) over the last three years.,[],[],[],,,,
49,4176,These threat actors are notably sophisticated and well-equipped.,[],[],[],,,,
50,3255,"The C&C communication is encrypted with AES ECB algorithm using a hard-coded password, ZLIB compression, and base85 encoding.",[],[],[],,,,
51,12907,General:,[],[],[],,,,
52,8349,GeckoHtmlElement > (,[],[],[],,,,
53,12980,"Since our last update, TAG has observed a continuously growing number of threat actors using the war as a lure in phishing and malware campaigns.","[{'id': 40416, 'label': 'location', 'start_offset': 97, 'end_offset': 100}, {'id': 40417, 'label': 'location', 'start_offset': 106, 'end_offset': 110}, {'id': 40418, 'label': 'attack-pattern', 'start_offset': 114, 'end_offset': 122}, {'id': 40419, 'label': 'location', 'start_offset': 123, 'end_offset': 126}]",[],[],40416.0,location,97.0,100.0
54,9827,Uses legitimate websites for the C&C server.,[],[],[],,,,
55,358,"In this case, that apparently included VPN credentials, which they then used to log into the network and more laterally from system to system until discovering the data they were after.","[{'id': 46055, 'label': 'SOFTWARE', 'start_offset': 39, 'end_offset': 42}]",[],[],46055.0,SOFTWARE,39.0,42.0
